   115/299     9.97G   0.02751  0.006622         0   0.03414         8       320    0.7695    0.6923    0.7546    0.4466   0.04305   0.01042         0
   116/299     9.97G   0.02709  0.006571         0   0.03366        17       320    0.7733    0.6847    0.7645    0.4603   0.04241    0.0107         0
   117/299     9.97G   0.02628  0.006693         0   0.03297        32       320    0.7843    0.6789    0.7535    0.4415   0.04371   0.01162         0
   118/299     9.97G   0.02712  0.006264         0   0.03338         8       320    0.8146    0.6319    0.7512    0.4323   0.04595   0.01041         0
   119/299     9.97G   0.02567  0.006583         0   0.03225        12       320    0.7834    0.7023    0.8113    0.4909   0.04134   0.01008         0
   120/299     9.97G   0.02611  0.005959         0   0.03207        14       320     0.776    0.7425    0.7986      0.49   0.04017   0.01039         0
   121/299     9.97G   0.02511  0.006705         0   0.03181        25       320    0.7594    0.6755    0.7558    0.4458   0.04086   0.01111         0
   122/299     9.97G   0.02571  0.006632         0   0.03235        23       320    0.8221    0.6656    0.7734    0.4685   0.04023   0.01064         0
   123/299     9.97G   0.02602  0.006501         0   0.03252        12       320    0.8595    0.6555    0.7677    0.4668   0.04259   0.01031         0
   124/299     9.97G   0.02588  0.006615         0    0.0325        19       320    0.7567    0.7074    0.7734    0.4708   0.04282    0.0107         0
   125/299     9.97G   0.02694  0.006588         0   0.03352        25       320    0.8184    0.7291    0.8029    0.4773   0.04332   0.01044         0
   126/299     9.97G   0.02593  0.006481         0   0.03242        15       320    0.7999     0.709    0.7802    0.4952   0.04197   0.01002         0
   127/299     9.97G    0.0254  0.006222         0   0.03162         3       320    0.8154    0.7089    0.7815    0.4831    0.0417   0.01009         0
   128/299     9.97G   0.02565  0.006498         0   0.03215        22       320    0.8018    0.7324     0.803    0.4998   0.04159    0.0104         0
   129/299     9.97G   0.02587  0.006069         0   0.03193        15       320    0.7699    0.7057    0.7576    0.4718    0.0438   0.01061         0
   130/299     9.97G   0.02548  0.006262         0   0.03174        19       320    0.7679    0.7524    0.7872    0.4735    0.0432   0.01051         0
   131/299     9.97G   0.02451  0.006631         0   0.03114        15       320    0.7924    0.7157    0.7798    0.4708   0.04442   0.01035         0
   132/299     9.97G   0.02531  0.006854         0   0.03217        34       320    0.8175    0.6923    0.7729    0.4822   0.04164   0.01055         0
   133/299     9.97G   0.02477  0.006423         0   0.03119        10       320    0.8244    0.7224    0.7918    0.5074   0.04086   0.01035         0
   134/299     9.97G   0.02441  0.006119         0   0.03053        10       320    0.8247    0.6922    0.7925    0.4878   0.04145    0.0101         0
   135/299     9.97G   0.02524  0.006228         0   0.03147        19       320    0.7921    0.7391    0.8007    0.4871   0.04256   0.01031         0
   136/299     9.97G   0.02468  0.006473         0   0.03115        26       320    0.7932    0.7056    0.7772    0.4778   0.04425   0.01003         0
   137/299     9.97G   0.02417  0.006127         0    0.0303         8       320    0.7548    0.7726    0.8006    0.4904   0.04033   0.01016         0
   138/299     9.97G   0.02417   0.00598         0   0.03015        20       320    0.7406    0.7659    0.7846    0.4759   0.04155   0.01026         0
   139/299     9.97G   0.02399  0.006316         0   0.03031        39       320    0.7991    0.7057    0.7697    0.4771    0.0419   0.01045         0
   140/299     9.97G   0.02454  0.005844         0   0.03038        23       320    0.7762    0.7423    0.7915    0.4951    0.0414   0.01009         0
   141/299     9.97G   0.02464  0.006374         0   0.03101        21       320    0.7739    0.7559    0.7933    0.4908   0.03988   0.01055         0
   142/299     9.97G   0.02546  0.005845         0   0.03131         8       320    0.8457    0.6785    0.7819    0.4789   0.04093   0.01038         0
   143/299     9.97G   0.02368  0.006013         0   0.02969        11       320    0.8703    0.7191    0.8055     0.495   0.04064   0.01064         0
   144/299     9.97G   0.02362  0.006111         0   0.02974        12       320    0.8306    0.7053    0.7947      0.48   0.04111     0.011         0
   145/299     9.97G   0.02419   0.00636         0   0.03055        42       320    0.7491     0.699    0.7556    0.4547   0.04213   0.01141         0
   146/299     9.97G   0.02384  0.006101         0   0.02994        22       320    0.7772    0.7258    0.7759    0.4851   0.04252     0.011         0
   147/299     9.97G   0.02434  0.006231         0   0.03057        24       320    0.7831    0.7157    0.7836    0.4599    0.0426   0.01108         0
   148/299     9.97G   0.02429  0.006072         0   0.03036        13       320    0.7783    0.7291    0.7685    0.4734   0.03998   0.01093         0
   149/299     9.97G   0.02398  0.006071         0   0.03005        23       320    0.7924    0.7157    0.7889    0.4864   0.04017    0.0107         0
   150/299     9.97G   0.02427  0.005917         0   0.03018        34       320    0.7713     0.722    0.7959    0.5006   0.03936   0.01059         0
   151/299     9.97G   0.02436  0.006305         0   0.03067        30       320    0.7696    0.7291    0.7938    0.4931   0.03985   0.01079         0
   152/299     9.97G   0.02398  0.006174         0   0.03016        25       320    0.7882    0.6856    0.7696    0.4836    0.0405   0.01068         0
   153/299     9.97G   0.02451  0.007011         0   0.03152        44       320    0.7524    0.6923    0.7728    0.4632   0.04284   0.01103         0
   154/299     9.97G   0.02372  0.006351         0   0.03008        34       320    0.8117    0.7358    0.7957    0.4937   0.04022   0.01055         0
